yy	mm	dd	Sardegna_CA011B097	Sardegna_CA013B093	Sardegna_CA026B079	Sardegna_CA029B017	Sardegna_CA030B175	Sardegna_CA034B191	Sardegna_CA038B170	Sardegna_CA039B232	Sardegna_CA045B021	Sardegna_CA047B226	Sardegna_CA051B276	Sardegna_CA054B109	Sardegna_CA061B225	Sardegna_CA067B113	Sardegna_CA069B312	Sardegna_CA073B050	Sardegna_CA073B171	Sardegna_CA078B229	Sardegna_CA082A008	Sardegna_CA082B039	Sardegna_CA084B044	Sardegna_CA085B210	Sardegna_CA086B062	Sardegna_CA088B119	Sardegna_CA092B140	Sardegna_CA095B182	Sardegna_CA102B148	Sardegna_CA103B212	Sardegna_CA104B056	Sardegna_CA104B085	Sardegna_CA105B047	Sardegna_NU002B035	Sardegna_NU004B216	Sardegna_NU015B068	Sardegna_NU016B126	Sardegna_NU022B201	Sardegna_NU034B095	Sardegna_NU042B031	Sardegna_NU043B096	Sardegna_NU045B433	Sardegna_NU048B065	Sardegna_NU058B202	Sardegna_NU060B054	Sardegna_NU063B023	Sardegna_NU063B025	Sardegna_NU063B172	Sardegna_NU063B227	Sardegna_NU065B051	Sardegna_NU067B101	Sardegna_NU073B090	Sardegna_NU076B127	Sardegna_NU076B180	Sardegna_NU077B067	Sardegna_NU078B020	Sardegna_NU079B194	Sardegna_NU083B009	Sardegna_NU085B070	Sardegna_NU090B049	Sardegna_NU095B211	Sardegna_OR004B207	Sardegna_OR009B001	Sardegna_OR025B037	Sardegna_OR030B156	Sardegna_OR032E006	Sardegna_OR038B181	Sardegna_OR039B174	Sardegna_OR042B200	Sardegna_OR073B221	Sardegna_OR077B103	Sardegna_SS001B271	Sardegna_SS002B078	Sardegna_SS003B139	Sardegna_SS005B003	Sardegna_SS012B002	Sardegna_SS013B169	Sardegna_SS013B224	Sardegna_SS014B110	Sardegna_SS015B041	Sardegna_SS018B022	Sardegna_SS022B165	Sardegna_SS022B187	Sardegna_SS025B151	Sardegna_SS028B107	Sardegna_SS028B236	Sardegna_SS038B038	Sardegna_SS038B111	Sardegna_SS042B045	Sardegna_SS051B087	Sardegna_SS052B048	Sardegna_SS053B458	Sardegna_SS054B034	Sardegna_SS059B061	Sardegna_SS059B159	Sardegna_SS060B237	Sardegna_SS068B230	Sardegna_SS073B028	Sardegna_SS077B168	Sardegna_SS086B155
1981	01	01	3.8	NA	NA	NA	NA	NA	NA	NA	NA	7.5	NA	3	NA	NA	2	8.2	5	NA	2.4	4.5	NA	NA	NA	NA	2	NA	3	NA	NA	3	3	7	NA	NA	3	NA	1	NA	NA	NA	NA	NA	-2.5	NA	NA	NA	NA	NA	4	3.2	NA	-2.5	NA	NA	NA	NA	NA	2	NA	NA	NA	5.4	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3.5	NA	2	-1
1981	01	02	4.2	NA	NA	NA	NA	NA	NA	NA	NA	9.2	NA	7	NA	NA	5	5.6	7	NA	3.2	6	NA	NA	NA	NA	4	NA	5	NA	NA	3	3	6	NA	NA	6.5	NA	1	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	NA	6	3	NA	0	NA	NA	NA	NA	NA	3	NA	NA	NA	5.3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	NA	3	0
1981	01	03	4	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	5	NA	NA	5	6.2	6	NA	2	7.5	NA	NA	NA	NA	3	NA	4	NA	NA	1	4	7	NA	NA	6	NA	1	NA	NA	NA	NA	NA	-3.5	NA	NA	NA	NA	NA	6	2.2	NA	-4	NA	NA	NA	NA	NA	1	NA	NA	NA	5.3	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.5	3.5	NA	0	1
1981	01	04	5.8	NA	NA	NA	NA	NA	NA	NA	NA	11	NA	11.5	NA	NA	4	9.4	7	NA	11	8	NA	NA	NA	NA	7	NA	8	NA	NA	5	11	10	NA	NA	9.5	NA	4	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	3	2.2	NA	4	NA	NA	NA	NA	NA	5	NA	NA	NA	5.3	NA	11.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	NA	NA	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	6	NA	-1	9
1981	01	05	6.5	NA	NA	NA	NA	NA	NA	NA	NA	10	NA	9	NA	NA	2	7.4	9	NA	4.6	9	NA	NA	NA	NA	8	NA	10	NA	NA	4	8	10.5	NA	NA	10	NA	4	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	NA	5	3	NA	1.5	NA	NA	NA	NA	NA	4	NA	NA	NA	5.1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	NA	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	3
1981	01	06	3	NA	NA	NA	NA	NA	NA	NA	NA	8	NA	3.5	NA	NA	3	4.8	5	NA	5	7.5	NA	NA	NA	NA	8	NA	9	NA	NA	1	5	7	NA	NA	5.8	NA	-2	NA	NA	NA	NA	NA	-3.4	NA	NA	NA	NA	NA	2	1.4	NA	-4	NA	NA	NA	NA	NA	0	NA	NA	NA	7.3	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.5	2.5	NA	0	0
1981	01	07	3	NA	NA	NA	NA	NA	NA	NA	NA	8.5	NA	7	NA	NA	4	7.2	6	NA	2.6	8.5	NA	NA	NA	NA	7.5	NA	10	NA	NA	3	1	6.5	NA	NA	8.2	NA	2	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	3	0.3	NA	0	NA	NA	NA	NA	NA	1.5	NA	NA	NA	5.3	NA	1.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	-4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	3	NA	1	0
1981	01	08	-2.5	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	1	0	-3	NA	-0.2	0.5	NA	NA	NA	NA	3	NA	1	NA	NA	-3	0.2	2	NA	NA	0.1	NA	-3	NA	NA	NA	NA	NA	-7	NA	NA	NA	NA	NA	-4	-0.3	NA	-9.5	NA	NA	NA	NA	NA	-4.5	NA	NA	NA	-2	NA	-2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	-6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	-2.5	NA	-4	-2
1981	01	09	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2	NA	-1.5	NA	NA	0	-0.5	-3	NA	-3.4	-1	NA	NA	NA	NA	-1	NA	0	NA	NA	-5	NA	3	NA	NA	0.1	NA	-5	NA	NA	NA	NA	NA	-10	NA	NA	NA	NA	NA	-3	-0.4	NA	-9	NA	NA	NA	NA	NA	-7	NA	NA	NA	-3	NA	-3.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	NA	-5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-3	-4	NA	-2	-2.5
1981	01	10	-4	NA	NA	NA	NA	NA	NA	NA	NA	-1	NA	-2	NA	NA	-4	0.5	-3	NA	-4.8	0	NA	NA	NA	NA	-3	NA	-4	NA	NA	-5	0	1.5	NA	NA	0	NA	-6	NA	NA	NA	NA	NA	-8.7	NA	NA	NA	NA	NA	-1	-0.5	NA	-10	NA	NA	NA	NA	NA	-5	NA	NA	NA	-4	NA	-4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-2	NA	NA	-9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-5	-3	NA	NA	-6.5
1981	01	11	0.8	NA	NA	NA	NA	NA	NA	NA	NA	1.5	NA	-1	NA	NA	0	3.6	4	NA	5.6	1	NA	NA	NA	NA	6	NA	4	NA	NA	-1	1	0	NA	NA	0.5	NA	2	NA	NA	NA	NA	NA	-5	NA	NA	NA	NA	NA	2	-0.3	NA	-3.5	NA	NA	NA	NA	NA	0	NA	NA	NA	5.1	NA	5.7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	-4.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	-0.5	NA	-2	-5
1981	01	12	5.3	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	4	NA	NA	6	4.6	8	NA	5.6	7	NA	NA	NA	NA	10	NA	8	NA	NA	NA	7	6.5	NA	NA	4.5	NA	2	NA	NA	NA	NA	NA	-2	NA	NA	NA	NA	NA	3	-0.5	NA	1	NA	NA	NA	NA	NA	4	NA	NA	NA	5	NA	4.8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	-1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2.5	NA	0	0
1981	01	13	3	NA	NA	NA	NA	NA	NA	NA	NA	6.5	NA	4	NA	NA	3	6.2	5	NA	2.8	6.5	NA	NA	NA	NA	6	NA	6	NA	NA	1	4	5.5	NA	NA	5	NA	2	NA	NA	NA	NA	NA	-3	NA	NA	NA	NA	NA	1	-0.2	NA	-2	NA	NA	NA	NA	NA	0	NA	NA	NA	4	NA	4.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	6	NA	NA	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	2	NA	0	3
